BASIN,FRL,FRH,DVL,DVH,GSL,GRH,CVL,CVH,IMP
1,3075,18797,344,1536,519,2798,0,0,135
2,6903,8307,450,321,486,671,10,0,69
3,4332,5658,361,402,1655,1646,0,0,84
4,1327,2220,73,84,159,407,0,0,13
5,422,1869,49,113,171,677,0,0,21
6,3823,1548,353,150,939,374,0,0,43
7,3716,6035,231,233,618,1068,200,259,40
8,53,50,10,5,2,5,77,16,2
9,2292,9828,211,521,61,157,0,0,56
10,4960,7531,357,265,468,561,121,25,48
11,5985,8144,347,522,444,348,185,210,81
12,1186,86,107,83,66,11,16,20,38
13,6200,636,489,90,73,22,108,81,75
14,4594,198,320,54,157,11,257,20,66
15,9079,1525,588,145,1266,315,291,123,72
16,5671,3225,231,222,615,253,24,178,52
17,3623,82,126,1,12,0,0,0,16
